subID,blockID,blockDifficulty
500,1,0
500,2,1
500,3,1
500,4,0
500,5,0
500,6,1
500,7,1
500,8,0
500,9,0
500,10,1
501,1,0
501,2,1
501,3,1
501,4,0
501,5,0
501,6,1
501,7,1
501,8,0
501,9,0
501,10,1
503,1,0
503,2,1
503,3,1
503,4,0
503,5,0
503,6,1
503,7,1
503,8,0
503,9,0
503,10,1
504,1,0
504,2,1
504,3,1
504,4,0
504,5,0
504,6,1
504,7,1
504,8,0
504,9,0
504,10,1
510,1,0
510,2,1
510,3,1
510,4,0
510,5,0
510,6,1
510,7,1
510,8,0
510,9,0
510,10,1
511,1,0
511,2,1
511,3,1
511,4,0
511,5,0
511,6,1
511,7,1
511,8,0
511,9,0
511,10,1
512,1,0
512,2,1
512,3,1
512,4,0
512,5,0
512,6,1
512,7,1
512,8,0
512,9,0
512,10,1
513,1,0
513,2,1
513,3,1
513,4,0
513,5,0
513,6,1
513,7,1
513,8,0
513,9,0
513,10,1
514,1,0
514,2,1
514,3,1
514,4,0
514,5,0
514,6,1
514,7,1
514,8,0
514,9,0
514,10,1
515,1,0
515,2,1
515,3,1
515,4,0
515,5,0
515,6,1
515,7,1
515,8,0
515,9,0
515,10,1
516,1,0
516,2,1
516,3,1
516,4,0
516,5,0
516,6,1
516,7,1
516,8,0
516,9,0
516,10,1
517,1,0
517,2,1
517,3,1
517,4,0
517,5,0
517,6,1
517,7,1
517,8,0
517,9,0
517,10,1
518,1,0
518,2,1
518,3,1
518,4,0
518,5,0
518,6,1
518,7,1
518,8,0
518,9,0
518,10,1
519,1,0
519,2,1
519,3,1
519,4,0
519,5,0
519,6,1
519,7,1
519,8,0
519,9,0
519,10,1
520,1,0
520,2,1
520,3,1
520,4,0
520,5,0
520,6,1
520,7,1
520,8,0
520,9,0
520,10,1
521,1,0
521,2,1
521,3,1
521,4,0
521,5,0
521,6,1
521,7,1
521,8,0
521,9,0
521,10,1
522,1,0
522,2,1
522,3,1
522,4,0
522,5,0
522,6,1
522,7,1
522,8,0
522,9,0
522,10,1
523,1,0
523,2,1
523,3,1
523,4,0
523,5,0
523,6,1
523,7,1
523,8,0
523,9,0
523,10,1
524,1,0
524,2,1
524,3,1
524,4,0
524,5,0
524,6,1
524,7,1
524,8,0
524,9,0
524,10,1
525,1,0
525,2,1
525,3,1
525,4,0
525,5,0
525,6,1
525,7,1
525,8,0
525,9,0
525,10,1
526,1,0
526,2,1
526,3,1
526,4,0
526,5,0
526,6,1
526,7,1
526,8,0
526,9,0
526,10,1
527,1,0
527,2,1
527,3,1
527,4,0
527,5,0
527,6,1
527,7,1
527,8,0
527,9,0
527,10,1
528,1,0
528,2,1
528,3,1
528,4,0
528,5,0
528,6,1
528,7,1
528,8,0
528,9,0
528,10,1
529,1,0
529,2,1
529,3,1
529,4,0
529,5,0
529,6,1
529,7,1
529,8,0
529,9,0
529,10,1
530,1,0
530,2,1
530,3,1
530,4,0
530,5,0
530,6,1
530,7,1
530,8,0
530,9,0
530,10,1
531,1,0
531,2,1
531,3,1
531,4,0
531,5,0
531,6,1
531,7,1
531,8,0
531,9,0
531,10,1
532,1,0
532,2,1
532,3,1
532,4,0
532,5,0
532,6,1
532,7,1
532,8,0
532,9,0
532,10,1
533,1,0
533,2,1
533,3,1
533,4,0
533,5,0
533,6,1
533,7,1
533,8,0
533,9,0
533,10,1
534,1,0
534,2,1
534,3,1
534,4,0
534,5,0
534,6,1
534,7,1
534,8,0
534,9,0
534,10,1
535,1,0
535,2,1
535,3,1
535,4,0
535,5,0
535,6,1
535,7,1
535,8,0
535,9,0
535,10,1
536,1,0
536,2,1
536,3,1
536,4,0
536,5,0
536,6,1
536,7,1
536,8,0
536,9,0
536,10,1
537,1,0
537,2,1
537,3,1
537,4,0
537,5,0
537,6,1
537,7,1
537,8,0
537,9,0
537,10,1
538,1,0
538,2,1
538,3,1
538,4,0
538,5,0
538,6,1
538,7,1
538,8,0
538,9,0
538,10,1
539,1,0
539,2,1
539,3,1
539,4,0
539,5,0
539,6,1
539,7,1
539,8,0
539,9,0
539,10,1
540,1,0
540,2,1
540,3,1
540,4,0
540,5,0
540,6,1
540,7,1
540,8,0
540,9,0
540,10,1
541,1,0
541,2,1
541,3,1
541,4,0
541,5,0
541,6,1
541,7,1
541,8,0
541,9,0
541,10,1
542,1,0
542,2,1
542,3,1
542,4,0
542,5,0
542,6,1
542,7,1
542,8,0
542,9,0
542,10,1
550,1,0
550,2,1
550,3,1
550,4,0
550,5,0
550,6,1
550,7,1
550,8,0
550,9,0
550,10,1
551,1,0
551,2,1
551,3,1
551,4,0
551,5,0
551,6,1
551,7,1
551,8,0
551,9,0
551,10,1
552,1,0
552,2,1
552,3,1
552,4,0
552,5,0
552,6,1
552,7,1
552,8,0
552,9,0
552,10,1
553,1,0
553,2,1
553,3,1
553,4,0
553,5,0
553,6,1
553,7,1
553,8,0
553,9,0
553,10,1
554,1,0
554,2,1
554,3,1
554,4,0
554,5,0
554,6,1
554,7,1
554,8,0
554,9,0
554,10,1
555,1,0
555,2,1
555,3,1
555,4,0
555,5,0
555,6,1
555,7,1
555,8,0
555,9,0
555,10,1
556,1,0
556,2,1
556,3,1
556,4,0
556,5,0
556,6,1
556,7,1
556,8,0
556,9,0
556,10,1
557,1,0
557,2,1
557,3,1
557,4,0
557,5,0
557,6,1
557,7,1
557,8,0
557,9,0
557,10,1
558,1,0
558,2,1
558,3,1
558,4,0
558,5,0
558,6,1
558,7,1
558,8,0
558,9,0
558,10,1
559,1,0
559,2,1
559,3,1
559,4,0
559,5,0
559,6,1
559,7,1
559,8,0
559,9,0
559,10,1
560,1,0
560,2,1
560,3,1
560,4,0
560,5,0
560,6,1
560,7,1
560,8,0
560,9,0
560,10,1
561,1,0
561,2,1
561,3,1
561,4,0
561,5,0
561,6,1
561,7,1
561,8,0
561,9,0
561,10,1
562,1,0
562,2,1
562,3,1
562,4,0
562,5,0
562,6,1
562,7,1
562,8,0
562,9,0
562,10,1
563,1,0
563,2,1
563,3,1
563,4,0
563,5,0
563,6,1
563,7,1
563,8,0
563,9,0
563,10,1
564,1,0
564,2,1
564,3,1
564,4,0
564,5,0
564,6,1
564,7,1
564,8,0
564,9,0
564,10,1
565,1,0
565,2,1
565,3,1
565,4,0
565,5,0
565,6,1
565,7,1
565,8,0
565,9,0
565,10,1
566,1,0
566,2,1
566,3,1
566,4,0
566,5,0
566,6,1
566,7,1
566,8,0
566,9,0
566,10,1
568,1,0
568,2,1
568,3,1
568,4,0
568,5,0
568,6,1
568,7,1
568,8,0
568,9,0
568,10,1
569,1,0
569,2,1
569,3,1
569,4,0
569,5,0
569,6,1
569,7,1
569,8,0
569,9,0
569,10,1
570,1,0
570,2,1
570,3,1
570,4,0
570,5,0
570,6,1
570,7,1
570,8,0
570,9,0
570,10,1
571,1,0
571,2,1
571,3,1
571,4,0
571,5,0
571,6,1
571,7,1
571,8,0
571,9,0
571,10,1
572,1,0
572,2,1
572,3,1
572,4,0
572,5,0
572,6,1
572,7,1
572,8,0
572,9,0
572,10,1
573,1,0
573,2,1
573,3,1
573,4,0
573,5,0
573,6,1
573,7,1
573,8,0
573,9,0
573,10,1
574,1,0
574,2,1
574,3,1
574,4,0
574,5,0
574,6,1
574,7,1
574,8,0
574,9,0
574,10,1
575,1,0
575,2,1
575,3,1
575,4,0
575,5,0
575,6,1
575,7,1
575,8,0
575,9,0
575,10,1
576,1,0
576,2,1
576,3,1
